"population" "no_chicks" "clutch_size" "year" "male" "female" "family_ID"
"KPT" 3 "3" 1996 "bird_2578" "bird_2506" "family_1295"
"KPT" 3 "3" 1996 "bird_2712" "bird_2713" "family_1296"
"KPT" 3 "3" 1996 "bird_2665" "bird_2663" "family_1297"
"KPT" 3 "3" 1996 "bird_2680" "bird_2681" "family_1298"
"KPT" 3 "3" 1996 "bird_2673" "bird_2672" "family_1299"
"KPT" 3 "3" 1996 "bird_2669" "bird_2668" "family_1300"
"KPT" 2 "3" 1996 NA NA "family_1302"
"KPT" 1 "3" 1996 NA NA "family_1303"
"KPT" 3 "3" 1996 "bird_2596" "bird_2595" "family_1304"
"KPT" 0 "3" 1996 "bird_2510" "bird_2511" "family_1305"
"KPT" 0 "3" 1996 NA "bird_2495" "family_1308"
"KPT" 0 "3" 1996 "bird_2498" "bird_2496" "family_1357"
"KPT" 0 "3" 1996 "bird_2519" "bird_2518" "family_1361"
"KPT" 0 "3" 1996 "bird_2501" "bird_2500" "family_1362"
"KPT" 0 "3" 1996 "bird_2520" "bird_2502" "family_1363"
"KPT" 3 "3" 1996 "bird_2557" "bird_2558" "family_1364"
"KPT" 4 "3" 1996 NA NA "family_1365"
"KPT" 0 "3" 1996 "bird_2532" "bird_2531" "family_1366"
"KPT" 0 "3" 1996 "bird_2545" "bird_2496" "family_1367"
"KPT" 0 "3" 1996 "bird_2534" "bird_2535" "family_1368"
"KPT" 0 "3" 1996 "bird_2540" "bird_2541" "family_1369"
"KPT" 0 "3" 1996 "bird_2510" NA "family_1370"
"KPT" 0 "3" 1996 "bird_2581" "bird_2544" "family_1306"
"KPT" 0 "3" 1996 "bird_2549" "bird_2548" "family_1307"
"KPT" 0 "3" 1996 "bird_2608" "bird_2609" "family_1309"
"KPT" 0 "1" 1996 "bird_2498" "bird_2511" "family_1310"
"KPT" 3 "3" 1996 "bird_2510" "bird_2617" "family_1311"
"KPT" 0 "3" 1996 "bird_2664" NA "family_1312"
"KPT" 0 "3" 1996 "bird_2520" "bird_2620" "family_1313"
"KPT" 0 "3" 1996 "bird_2610" "bird_2611" "family_1314"
"KPT" 3 "3" 1996 "bird_2682" "bird_2619" "family_1315"
"KPT" 0 "3" 1996 "bird_2621" "bird_2622" "family_1316"
"KPT" 0 "3" 1996 "bird_2627" "bird_2625" "family_1317"
"KPT" 2 "2" 1996 "bird_2624" "bird_2500" "family_1318"
"KPT" 0 "2" 1996 "bird_2557" "bird_2648" "family_1319"
"KPT" 0 "3" 1996 "bird_2532" NA "family_1320"
"KPT" 2 "3" 1996 "bird_2610" "bird_2645" "family_1321"
"KPT" 0 "3" 1996 "bird_2634" "bird_2633" "family_1322"
"KPT" 0 "3" 1996 "bird_2641" "bird_2622" "family_1323"
"KPT" 2 "3" 1996 NA "bird_2571" "family_1324"
"KPT" 3 "3" 1996 NA NA "family_1325"
"KPT" 3 "3" 1996 NA NA "family_1326"
"KPT" 0 "3" 1996 "bird_2507" "bird_2508" "family_1327"
"KPT" 3 "3" 1996 NA NA "family_1328"
"KPT" 3 "3" 1996 "bird_2655" NA "family_1329"
"KPT" 3 "3" 1996 "bird_2599" "bird_2600" "family_1330"
"KPT" 3 "3" 1996 "bird_2574" "bird_2575" "family_1331"
"KPT" 3 "3" 1996 NA NA "family_1332"
"KPT" 3 "3" 1996 "bird_2603" "bird_2604" "family_1333"
"KPT" 0 "3" 1996 "bird_2545" "bird_2496" "family_1334"
"KPT" 3 "3" 1996 "bird_2690" "bird_2689" "family_1335"
"KPT" 0 "3" 1996 "bird_2643" "bird_2642" "family_1336"
"KPT" 3 "3" 1996 "bird_2599" "bird_2671" "family_1337"
"KPT" 0 "3" 1996 "bird_2629" NA "family_1338"
"KPT" 3 "3" 1996 "bird_2674" "bird_2675" "family_1339"
"KPT" 0 "3" 1996 NA "bird_2647" "family_1340"
"KPT" 3 "3" 1996 "bird_2719" "bird_2718" "family_1341"
"KPT" 0 "3" 1996 "bird_2670" "bird_2561" "family_1342"
"KPT" 3 "3" 1996 "bird_2684" "bird_2683" "family_1343"
"KPT" 3 "3" 1996 NA NA "family_1344"
"KPT" 0 "2" 1996 NA "bird_2541" "family_1345"
"KPT" 2 "3" 1996 NA NA "family_1346"
"KPT" 2 "3" 1996 NA "bird_2715" "family_1347"
"KPT" 0 "3" 1996 "bird_2693" "bird_2558" "family_1348"
"KPT" 3 "3" 1996 "bird_2708" "bird_2696" "family_1349"
"KPT" 2 "3" 1996 NA "bird_2716" "family_1350"
