"ring"	"ch"	"sex"	"age"
"DJ25122"	"011100"	"F"	"A"
"DJ25123"	"001010"	"F"	"A"
"DJ25124"	"001000"	"F"	"A"
"DJ25125"	"001100"	"F"	"A"
"DJ25125"	"001100"	"F"	"A"
"DJ25126"	"001100"	"M"	"A"
"DJ25127"	"001010"	"M"	"A"
"DJ25130"	"001000"	"F"	"A"
"DJ25131"	"001110"	"F"	"A"
"DJ25131"	"001110"	"F"	"A"
"DJ25131"	"001110"	"F"	"A"
"DJ25132"	"001000"	"M"	"A"
"DJ25133"	"001110"	"F"	"A"
"DJ25134"	"001110"	"M"	"A"
"DJ25135"	"001010"	"M"	"A"
"DJ25136"	"001000"	"F"	"A"
"DJ25137"	"001110"	"F"	"A"
"DJ25138"	"001100"	"M"	"A"
"DJ25139"	"001100"	"M"	"A"
"DJ25140"	"001111"	"M"	"A"
